Date time server,Bit Depth (ftMD),Hole Depth (ftMD),Block Position (ft),ROP (ft/h),Hookload (klb),WOB (klb),Rotary Torque (kft-lb),Surface RPM,Standpipe Pressure (psi),Mud Flow Out %,Mud Flow In (gpm)
dtsrv,DBTM,DMEA,BPOS,ROP,HKLA,WOB,TORQUE,RPM,SPP,MFOP,MFIA
timestamp,ft,ft,ft,ft/h,klb,klb,kft.lb,rpm,psi,%,galUS/min
9/9/2026 3:00,527.1,794.79,65.58,2.7,49.33,0,0,0,0,0,0
9/9/2026 3:00,526.76,794.79,65.9,2.7,49.33,0,0,0,0,0,0
9/9/2026 3:00,526.33,794.79,66.34,2.7,49.95,0,0,0,0,0,0
9/9/2026 3:00,526.33,794.79,66.34,2.7,50.27,0,0,0,0,0,0
9/9/2026 3:00,526.34,794.79,66.33,2.7,50.58,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,66.25,2.7,20.38,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,66.25,2.7,20.69,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,66.25,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,66.24,2.7,20.69,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.86,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,20.69,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.63,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.63,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.63,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.63,0,0,0,0,0,0
9/9/2026 3:00,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:01,526.42,794.79,65.79,2.7,21,0,0,0,0,0,0
9/9/2026 3:01,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:01,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
9/9/2026 3:01,526.42,794.79,65.79,2.7,21.32,0,0,0,0,0,0
