FIELDNAME,WELLIDE,RIGNO,DTTMSTART,DTTMSPUD,DTTMSTARTCALC,WELLPHASE,PHASE1,PHASE2,ACTIVITY,DURATION,UNSCHEDULE_EVENT_HRS,WBORESZACT,DEPTHACT,COM
SEBL,SEBL_001,PHR-05,11/18/2025 13:00,12/1/2025 4:00,11/18/2025 13:00,LOCN,MOB,MOVEON,R/D,11,,,0,"30% R/D Rig & Equipment
1.5% MoMi 1 of 63 Loads

Activity on SEBL 0049 @ 17:00 Hrs
- Dismantle HDPE Water Line
- Dismantle Line BOP & Accumulator
- Removed Main Compressor
- Dismantle & Removed Engine Mud Pump 2, 3
- Removed Accumulator
- R/D Top Drive
- Dismantle Front & Back Guyline
- Dismantle Escape Line
- Dismantle Monkey Board Guyline
- Loading 1 Unit Crane BNC-27
- Dismantle Rail Top Drive
- R/D Upper Mast
- Dimantle 4"" hose choke manifold
- Dimantle and reposition choke manifold
- Dimantle MGS line
- Dimantle MGS and reposition 
- Dimantle roof mudtank 1, 2, 3
- Dimantle triptank line from box assembly
- Change out linear mudpump 1 5½"" to 6""
- Dimantle prv line MP3 
- Dimantle discharge line mp 3 to mp 2, mp2 to mp 1
- Dimantle sliding cutting line shale shaker
- Loading Vdoor + Cat Walk

Load List:
1. Crane unit

Note:
- Flet moving PHR-05 only ready 3 unit (Low bed 2 unit + 1 trailer)
- Cargo GPS non active & Tandem( Repair/ W.O spare part)
- 4 unit HE additional support  f/ BN-18 i-JMS can't be process due to all GPS N/A
- SWA due to Heavy Rain
- SWA by VT due to slippery access road

=========== After Midnight ==========

00:00 - 05:00
50% R/D Rig & Equipment 50%
3% MoMi 2 of 63 Loads

Activity on SEBL 0049 @ 05:00 Hrs
- Install suction manifold mp 2
- Dismantle line transfer water doghouse to mudtank
- Dismantle walkway shale shaker
- Dismantle dresserslip elmot solid control 
- Dismantle dresserslip mudtank 1 to mudtank 2
- Dismantle dresserslip mudtank 2 to mudpump 3
- Dismantle flowline 2 section and support 
- Roll up guyline prepare rigdown lower mast
- R/D dog house

Load List : 
2. Vdoor + Cat Walk

Note:
- Medium Rain all night
"
SEBL,SEBL_001,PHR-05,11/19/2025,12/1/2025 4:00,11/19/2025,LOCN,MOB,MOVEON,R/D,12,,,0,"70% R/D Rig & Equipments
6% Moving 4 of 63 Loads

Activity on SEBL 0049 
- Install suction manifold mp 2
- Dismantle line transfer water doghouse to mudtank
- Dismantle walkway shale shaker
- Dismantle dresserslip elmot solid control 
- Dismantle dresserslip mudtank 1 to mudtank 2
- Dismantle dresserslip mudtank 2 to mudpump 3
- Dismantle flowline 2 section and support 
- Roll up guyline prepare rigdown lower mast
- R/D dog house
- Loading Cover V Belt + Mud Lab
- Dismantle & Removed walkway flowline and support
- Dismanle Dresser Sleeve Mud Tank
- Dismantle & Removed Elmot Desander, Desilter, Degasser
- R/D Lower Mast
- Dismantle & Removed Genset Rig
- Removed Main Fuel Tank
- Dismantle Rotary Table
- Dismantle  Ladder Substructure
- Dismantle Box Assembly
- Loading Dozer BNR-19
- Cont'd Dismantle 3"" HDPE Water Line
- Dismantle 4"" Vibrator Hose Mud Pump
- Tie up Slings on Rig Mast
- Dismantle & Removed Shale Shaker

Load List : 
1. 1 Unit crane BNC-27
2. V door + catwalk
3. Cover V Belt + Mud Lab
4. Dozer BNR-19

Flet moving:
- 3 Lowbed
- 2 Trailer
- 3 Crane
- 2 Dozzer

Note:
- Medium rain all night
"
SEBL,SEBL_001,PHR-05,11/19/2025,12/1/2025 4:00,11/19/2025 12:00,LOCN,MOB,MOVEON,R/D,5,,,0,"70% R/D Rig & Equipments
8 % Moving 5 of 63 Loads

Activity on SEBL 0049 @ 12:00 Hrs
- Loading Cover V Belt + Mud Lab
- Dismantle & Removed walkway flowline and support
- Dismanle Dresser Sleeve Mud Tank
- Dismantle & Removed Elmot Desander, Desilter, Degasser
- R/D Lower Mast
- Dismantle & Removed Genset Rig
- Removed Main Fuel Tank
- Dismantle Rotary Table
- Dismantle  Ladder Substructure
- Dismantle Box Assembly
- Loading Dozer BNR-19
- Cont'd Dismantle 3"" HDPE Water Line
- Dismantle 4"" Vibrator Hose Mud Pump
- Tie up Slings on Rig Mast
- Dismantle & Removed Shale Shaker

Load List : 
5. Portacamp geologist + Tower light

Flet moving:
- 3 Lowbed
- 2 Trailer
- 3 Crane
- 2 Dozzer

Note:
- Slow moving progress due to access road muddy & slippery after rain last night"
SEBL,SEBL_001,PHR-05,11/19/2025,12/1/2025 4:00,11/19/2025 17:00,LOCN,MOB,MOVEON,OPSUS,2,2,,0,SWA Due to heavy rain unsafe condition to contnue moving.
SEBL,SEBL_001,PHR-05,11/19/2025,12/1/2025 4:00,11/19/2025 19:00,LOCN,MOB,MOVEON,R/D,5,,,0,"90% R/D Rig & Equipments
8% Moving 5 of 63 Loads

Activity on SEBL 0049
- Loading 2 Ea Tool Box
- Dismantle Mud Tank 1,2,3
- Dismantle walkway mud tank 1
- Roll Up Hose HDPE
- Roll Up Kelly Hose
- Roll Up Hose 2"" 6000 psi
- Dismantle Ladder Mud Tank 3
- Cont'd Fabricated Wood Retainer on Pipe Rack for closing finding
- Loading Mud Pump 3 + BOP
- Loading Elmot Solid Control + Compressor Portable

Activity on SEBL 00050
- Unloading Vdoor + Cat Walk
- Unloading Cover V belt MP + Mud Lab
- Unloading Portacamp Geologist + Lighting Tower 2

Load ready to move: 
6. 2 Ea Tool Box
7. Mud Pump 3 + BOP
8. Elmot Solid Control + Compressor Portable

Flet Movig :
- 3 Unit Crane
- 2 Unit Dozer
- 2 Unit Trailer
- 1 Unit Low Bed Winch
- 2 Unit Low Bed Ram
- 1 Unit Cargo Truck

Note:
- SWA MOMI due to muddy & slippery access road f/ SEBL 00049 to SEBL 00050

=========== After Midnight ==========

00:00 - 05:00
100% R/D Rig & Equipments
8% Moving 5 of 63 Loads

Activity on SEBL 0049
- Loading Engine MP 1 & 2
- Reposition Mud Tank 1,2&3
- Dismantle Handraill Substructure
- Reposition Substructure
- R/D Substructure
- Reposition choke manifold
- Reposition powerpack
- Reposition mud gas separator

Activity on SEBL 00050
- Reposition Portacamp Geologist

Load ready to move : 
6. 2 Ea Tool Box
7. Mud Pump 3 + BOP
8. Elmot Solid Control + Compressor Portable
9. Engine MP 1 & 2

Note:
- SWA MOMI due to muddy & slippery access road f/ SEBL 00049 to SEBL 00050
"
SEBL,SEBL_001,PHR-05,11/20/2025,12/1/2025 4:00,11/20/2025,LOCN,MOB,MOVEON,R/D,5,,,0,"100% R/D Rig & Equipments
8% Moving 5 of 63 Loads

Activity on SEBL 0049
- Loading Engine MP 1 & 2
- Reposition Mud Tank 1,2&3
- Dismantle Handraill Substructure
- Reposition Substructure
- R/D Substructure
- Reposition choke manifold
- Reposition powerpack
- Reposition mud gas separator

Activity on SEBL 00050
- Reposition Portacamp Geologist

Load ready to move : 
6. 2 Ea Tool Box
7. Mud Pump 3 + BOP
8. Elmot Solid Control + Compressor Portable
9. Engine MP 1 & 2

Note:
- SWA MOMI due to muddy & slippery access road f/ SEBL 00049 to SEBL 00050


Activity on SEBL 0049
- Loading Engine MP 1 & 2
- Reposition Mud Tank 1,2&3
- Dismantle Handraill Substructure
- Reposition Substructure
- R/D Substructure
- Reposition choke manifold
- Reposition powerpack
- Reposition mud gas separator

- Loading Sliding Cutting, Test Pump, Super Choke, 2 Ea Bug Blower
- Loading Mud Tank 1

Activity on SEBL 00050
- Reposition Portacamp Geologist
- Unloading Elmot Solid Control + Compressor Portable

Load ready to move : 
6. 2 Ea Tool Box
7. Mud Pump 3 + BOP
8. Elmot Solid Control + Compressor Portable
9. Engine MP 1 & 2
10. Sliding Cutting, Test Pump, Super Choke, 2 Ea Bug Blower
11. Mud Tank 1

Armada Movig :
- 3 Unit Crane
- 2 Unit Dozer
- 2 Unit Trailer
- 1 Unit Low Bed Winch
- 2 Unit Low Bed Ram
- 1 Unit Cargo Truck

Note:
- SWA MOMI due to muddy & slippery access road f/ SEBL 00049 to SEBL 00050"
SEBL,SEBL_001,PHR-05,11/20/2025,12/1/2025 4:00,11/20/2025 5:00,LOCN,MOB,MOVEON,OPSUS,7,7,,0,"SWA MOMI due to muddy & slippery access road f/ SEBL 00049 to SEBL 00050

Offline Activities:
- Cont'd Fabricated Wood Retainer on Pipe Rack for closing finding
- Dismantle Tong Post
- Service Robotic TDS
- Service Genset Rig
- Team construction repair access to SEBL-00050 (Not finished yet)

Note:
- 100% R/D Rig & Equipments
- 8% Moving 5 of 63 Loads
"
SEBL,SEBL_001,PHR-05,11/20/2025,12/1/2025 4:00,11/20/2025 12:00,LOCN,MOB,MOVEON,UNITMOV,6,,,0,"24% MoMi 15 of 63 Loads from SEBL-00049 to SEBL-00050


Activity on SEBL 0049
- Service Robotic TDS
- Service Genset Rig
- Loading Sliding Cutting, Test Pump, Super Choke, 2 Ea Bug Blower
- Loading Mud Tank 1
- Dismantle Matting Board Substructure
- Loading Box Assembely, Casing Tong, Tubing Tong, Pipe Spinner, Line MGS
- Loading Mud Tank 2
- Loading Shale Shaker + Rotary Table + 6 Ea Matting Board + Hydromatic Tank
- Loading Mud Tank 3

Activity on SEBL 00050
- Reposition Portacamp Geologist
- Unloading Elmot Solid Control + Compressor Portable
- Unloading 2 Ea Tool Box
- Unloading Mud Pump 3 + BOP
- Unloading Engine MP 1 & 2
- Unloading Sliding Cutting, Test Pump, Super Choke, 2 Ea Bug Blower
- Unloading Mud Tank 1
- Unloading Box Assembely, Casing Tong, Tubing Tong, Pipe Spinner, Line MGS
- Unloading Mud Tank 2

Load list : 
6. 2 Ea Tool Box
7. Mud Pump 3 + BOP
8. Elmot Solid Control + Compressor Portable
9. Engine MP 1 & 2
10. Sliding Cutting, Test Pump, Super Choke, 2 Ea Bug Blower
11. Mud Tank 1
12. Box Assembely, Casing Tong, Tubing Tong, Pipe Spinner, Line MGS
13. Mud Tank 2
14. Shale Shaker + Rotary Table + 6 Ea Matting Board + Hydromatic Tank
15. Mud Tank 3

Armada Movig :
- 3 Unit Crane
- 2 Unit Dozer
- 2 Unit Trailer
- 1 Unit Low Bed Winch
- 2 Unit Low Bed Ram
- 1 Unit Cargo Truck

Note:
- SWA MOMI due to muddy & slippery access road f/ SEBL 00049 to SEBL 00050"
SEBL,SEBL_001,PHR-05,11/20/2025,12/1/2025 4:00,11/20/2025 18:00,LOCN,MOB,MOVEON,UNITMOV,4.5,,,0,"28% MoMi 18 of 63 Loads from SEBL-00049 to SEBL-00050

Activity on SEBL 0049
- Loading Choke Manifold + Mud Gas Separator
- Loading Ladder 3 Ea + Appar Storage + Handraill
- Loading Water Tank Saraline 500 Bbls
- Cont'd Fabricated Wood Retainer on Pipe Rack for closing finding
- Reposition flowline
- Reposition support flowline
- Reposition centrifugal mudpit
- Reposition walkway flowline

Activity on SEBL 00050
- Unloading Shale Shaker + Rotary Table + 6 Ea Matting Board + Hydromatic Tank
- Unloading Mud Tank 3
- Set up mud tank 1
- Install walk way mud tank 1 
- Install handraill mud tank 1
- Unloading Water Tank Saraline 500 Bbls
- Unloading Choke Manifold + Mud Gas Separator
- Unloading Ladder 3 Ea + Appar Storage + Handraill

Load List : 
16. Choke Manifold + Mud Gas Separator
17. Ladder 3 Ea + Appar Storage + Handraill
18. Water Tank Saraline 500 Bbls

Armada Movig :
- 3 Unit Crane
- 2 Unit Dozer
- 2 Unit Trailer
- 1 Unit Low Bed Winch
- 2 Unit Low Bed Ram
- 1 Unit Cargo Truck

Note:
- SWA due to heavy rain started at 22:30 Hrs"
SEBL,SEBL_001,PHR-05,11/20/2025,12/1/2025 4:00,11/20/2025 22:30,LOCN,MOB,MOVEON,OPSUS,1.5,1.5,,0,"SWA Due to heavy rain unsafe condition to contnue moving.

Note:
- Muddy & Slippery access road

=========== After Midnight ==========

00:00 - 04:00
28% MoMi 18 of 63 Loads from SEBL-00049 to SEBL-00050

Activity on SEBL 0049
- Cont'd Fabricated Wood Retainer on Pipe Rack for closing finding
- Loading Mud Pump 2
- Loading Engine MP 3 + Trip Tank
- Loading Ladder mudtank 1 & 2 + Centrifugal mudpit + Support flowline

Activity on SEBL 00050
- Set up mud tank 1 ,2 dan 3
- Instal elmot solid control

List Ready to move to SEBL-00050: 
19. Mud Pump 2
20. Engine MP 3 + Trip Tank
21. Ladder mudtank 1 & 2 + Ccentrifugal mudpit + Support flowline

Flet Movig :
- 3 Unit Crane
- 2 Unit Dozer
- 2 Unit Trailer
- 1 Unit Low Bed Winch
- 2 Unit Low Bed Ram
- 1 Unit Cargo Truck

Note:
- Bad & slippery access road after heavy rain

04:00-05:00
- Cont'd SWA due to bad & slippery access road
"
